crimeRelatedentity		TweetNumber	TweetID	Username	Date	Concept	Latitud	Longitud	Tweet	JoyScore	BadFeelingsScore	Locations mentioned		
robbery		24	1.88361500669387E+017	yatown_news	2012-04-06 16:24	Crime	39.05906	-84.542748	arrest made one day after crescent springs bank robbery crime fox19 ludlow covington ky	0.194428	0.257015	ky	crescent springs	
rape		29	2.61561081149936E+017	mikestamper04	2012-10-25 16:13	Crime	39.04804321	-84.62004745	president obama rape is rape it is a crime	0.011131	0.31783875			
assault		31	1.82424889741935E+017	Cincy_Crime	2012-03-21 07:14	Crime	39.089965	-84.568002	assault on 6xx steiner street cincinnati oh via calls for service fight in progress	0.3173	0.22479025	cincinnati		
burglary		39	2.31704702637711E+017	Cincy_Crime	2012-08-04 06:54	Crime	39.110577	-84.422592	burglary on 6xx lunken park drive cincinnati oh via calls for service burglary	0.404078	0.15729225	cincinnati		
theft		46	2.28818167076626E+017	Cincy_Crime	2012-07-27 07:44	Crime	39.104018	-84.512921	theft on xx e 7th street cincinnati oh via calls for service theft	0.207002	0.17506225	cincinnati		
vandalism		50	2.15429367784944E+017	Cincy_Crime	2012-06-20 09:02	Crime	39.1036587	-84.503375	vandalism on 5xx culvert st cincinnati oh via part i crime criminal damaging endangering	0.149683	0.2556685			
theft		51	2.05266083790324E+017	Cincy_Crime	2012-05-23 07:57	Crime	39.1021349	-84.506431	theft on e 5th street cincinnati oh via calls for service theft	0.087964	0.14743	cincinnati		
burglary		55	1.79873159477072E+017	Cincy_Crime	2012-03-14 06:14	Crime	39.1011652	-84.51294	burglary on 5xx vine street cincinnati oh via calls for service non residential burg	0.157152	0.24834275	cincinnati		
theft		67	2.33184514699059E+017	Cincy_Crime	2012-08-08 08:54	Crime	39.1074968	-84.512876	theft on 11xx walnut street cincinnati oh via part i crime theft	0.24936	0.2096975	cincinnati		
theft		72	2.05265994942382E+017	Cincy_Crime	2012-05-23 07:56	Crime	39.1104502	-84.524469	theft on 5xx betton street cincinnati oh via calls for service theft	0.239378	0.189422	cincinnati		
assault		85	2.31704658354246E+017	Cincy_Crime	2012-08-04 06:54	Crime	39.1086238	-84.568631	assault on 9xx fairbanks avenue cincinnati oh via calls for service assault	0.175449	0.2451995	cincinnati		
